Dataset: ogbn-arxiv, num nodes: 169343, num node features: 128, num classes: 40
mask sum
# Train: 7682066754
# Val: 2514937390
# Test: 4141437009
mask length
# Train: 90941
# Val: 29799
# Test: 48603
Using device: cuda

=== Training width=512 depth=2 lr=0.00195312 ===
Epoch 380 | Train: loss 2.2211, acc 0.4464, best 0.4464 (ep 380) | Val: loss 2.2349, acc 0.4429, best 0.4429 (ep 380) | Test: loss 2.2535, acc 0.4201, best 0.4201 (ep 380)
Epoch 390 | Train: loss 2.1954, acc 0.4539, best 0.4539 (ep 390) | Val: loss 2.2084, acc 0.4515, best 0.4515 (ep 390) | Test: loss 2.2274, acc 0.4306, best 0.4306 (ep 390)
Epoch 400 | Train: loss 2.1703, acc 0.4614, best 0.4614 (ep 400) | Val: loss 2.1826, acc 0.4598, best 0.4598 (ep 400) | Test: loss 2.2018, acc 0.4407, best 0.4407 (ep 400)
Epoch 410 | Train: loss 2.1459, acc 0.4685, best 0.4685 (ep 410) | Val: loss 2.1573, acc 0.4675, best 0.4675 (ep 410) | Test: loss 2.1769, acc 0.4501, best 0.4501 (ep 410)
Epoch 420 | Train: loss 2.1220, acc 0.4742, best 0.4742 (ep 420) | Val: loss 2.1326, acc 0.4744, best 0.4744 (ep 420) | Test: loss 2.1525, acc 0.4585, best 0.4585 (ep 420)
Epoch 430 | Train: loss 2.0988, acc 0.4801, best 0.4801 (ep 430) | Val: loss 2.1086, acc 0.4820, best 0.4820 (ep 430) | Test: loss 2.1287, acc 0.4665, best 0.4665 (ep 430)
Epoch 440 | Train: loss 2.0761, acc 0.4854, best 0.4854 (ep 440) | Val: loss 2.0851, acc 0.4883, best 0.4883 (ep 440) | Test: loss 2.1055, acc 0.4736, best 0.4736 (ep 440)
Epoch 450 | Train: loss 2.0539, acc 0.4907, best 0.4907 (ep 450) | Val: loss 2.0622, acc 0.4947, best 0.4947 (ep 450) | Test: loss 2.0829, acc 0.4803, best 0.4803 (ep 450)
Epoch 460 | Train: loss 2.0323, acc 0.4950, best 0.4950 (ep 460) | Val: loss 2.0399, acc 0.5003, best 0.5003 (ep 460) | Test: loss 2.0609, acc 0.4866, best 0.4866 (ep 460)
Epoch 470 | Train: loss 2.0112, acc 0.4998, best 0.4998 (ep 470) | Val: loss 2.0181, acc 0.5046, best 0.5046 (ep 470) | Test: loss 2.0393, acc 0.4919, best 0.4919 (ep 470)
Epoch 480 | Train: loss 1.9906, acc 0.5038, best 0.5038 (ep 480) | Val: loss 1.9968, acc 0.5094, best 0.5094 (ep 480) | Test: loss 2.0183, acc 0.4971, best 0.4971 (ep 480)
Epoch 490 | Train: loss 1.9704, acc 0.5077, best 0.5077 (ep 490) | Val: loss 1.9759, acc 0.5135, best 0.5135 (ep 490) | Test: loss 1.9977, acc 0.5023, best 0.5023 (ep 490)
Epoch 500 | Train: loss 1.9507, acc 0.5117, best 0.5117 (ep 500) | Val: loss 1.9556, acc 0.5185, best 0.5185 (ep 500) | Test: loss 1.9776, acc 0.5078, best 0.5078 (ep 500)
